Route_Name,Route_URL,Bus_Name,Bus_Type,Departure_Time,Arrival_Time,Duration,Fare,Rating,Seat_Availability
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 160781,Super Luxury Volvo AC Seater Pushback 2+2,00:00,14:00,14h 00m,INR 460,4.6,"37 Seats available
18 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 144042,Super Luxury Volvo AC Seater Pushback 2+2,00:00,12:20,12h 20m,INR 460,3.0,"37 Seats available
18 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 192566,Semi Deluxe Non AC Seater 2+2,04:45,09:15,04h 30m,INR 250,3.9,35 Seats available
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 146314,Super Luxury Volvo AC Seater Pushback 2+2,06:15,10:15,04h 00m,INR 460,3.4,"34 Seats available
16 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 185141,Super Luxury Volvo AC Seater Pushback 2+2,07:15,11:15,04h 00m,INR 460,4.3,"35 Seats available
17 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 193343,Semi Deluxe Non AC Seater 2+2,07:15,12:00,04h 45m,INR 250,3.9,35 Seats available
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 193585,Express Non AC Seater 2+3,07:40,12:20,04h 40m,INR 227,3.9,"42 Seats available
15 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 192577,Express Non AC Seater 2+3,08:00,12:55,04h 55m,INR 229,3.9,"46 Seats available
3 Single"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 186250,Super Luxury Volvo AC Seater Pushback 2+2,09:16,13:20,04h 04m,INR 460,4.8,"37 Seats available
18 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 174461,Express Non AC Seater 2+3,09:30,14:15,04h 45m,INR 229,3.9,"42 Seats available
15 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 179321,Express Non AC Seater 2+3,10:00,14:30,04h 30m,INR 229,3.9,"42 Seats available
15 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 193432,Express Non AC Seater 2+3,10:00,15:45,05h 45m,INR 226,3.9,"42 Seats available
15 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 179320,Express Non AC Seater 2+3,10:15,14:40,04h 25m,INR 229,3.9,"42 Seats available
15 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 164138,Express Non AC Seater 2+3,10:30,15:00,04h 30m,INR 229,3.9,"42 Seats available
15 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 177048,Semi Deluxe Non AC Seater 2+2,10:45,15:50,05h 05m,INR 250,3.9,"34 Seats available
16 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 182944,Express Non AC Seater 2+3,11:15,15:50,04h 35m,INR 229,3.9,"42 Seats available
15 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 187798,Super Luxury Volvo AC Seater Pushback 2+2,11:55,15:50,03h 55m,INR 460,4.1,"36 Seats available
17 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 156405,Express Non AC Seater 2+3,12:00,16:30,04h 30m,INR 229,3.9,"42 Seats available
15 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 193811,Deluxe AC Seater 2+2,12:30,16:55,04h 25m,INR 404,3.9,"37 Seats available
16 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 194137,Express Non AC Seater 2+3,12:35,17:15,04h 40m,INR 229,3.9,"42 Seats available
15 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 157455,Super Luxury Volvo AC Seater Pushback 2+2,13:00,17:00,04h 00m,INR 460,3.9,"37 Seats available
18 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 190571,Express Non AC Seater 2+3,13:25,18:00,04h 35m,INR 229,3.9,"42 Seats available
15 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 188046,Express Non AC Seater 2+3,14:15,19:00,04h 45m,INR 229,3.9,"42 Seats available
15 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 167049,Express Non AC Seater 2+3,14:30,19:15,04h 45m,INR 229,3.9,"42 Seats available
15 Window"
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 146140,Super Luxury Volvo AC Seater Pushback 2+2,14:46,18:48,04h 02m,INR 460,3.6,"37 Seats available
18 Window"
